Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Price
I,0.03125,0.03125,0,0,800,1199
Lava,0.0625,0.5,0,0,1750,1504
SSKY,0.03125,0.03125,0,1,2500,799
OPPO,8.0,256.0,16,48,4000,36990
Infinix,3.0,32.0,16,13,4000,10999
Blackbear,2.0,16.0,5,8,2500,4999
Salora,0.03125,0.03125,0,1,1800,999
Itel,0.0078125,0.0078125,0,0,1900,1269
InFocus,0.03125,0.03125,0,0,1000,1070
Micromax,0.03125,0.03125,0,0,1750,890
Karbonn,0.03125,0.03125,0,0,800,1190
Karbonn,0.03125,0.03125,0,0,800,999
Salora,0.03125,0.03125,0,1,2700,1099
Salora,0.03125,0.03125,0,1,1800,899
POCO,6.0,128.0,20,12,4000,14999
Ssky,0.03125,0.03125,0,1,1800,1099
OPPO,6.0,64.0,25,16,3500,14990
Jivi,0.0009765625,0.015625,0,0,1000,710
Blackbear,0.0625,0.0625,0,1,1450,1499
Samsung,1.0,8.0,5,8,2600,8990
Jivi,0.0009765625,0.015625,0,0,1000,719
Realme,2.0,16.0,5,13,4230,6999
Google,4.0,64.0,8,12,3700,32999
Mi,6.0,128.0,20,20,3010,15999
Winstar,0.03125,0.03125,0,0,1500,990
I,0.03125,0.0625,0,0,1500,1299
Samsung,1.0,16.0,5,5,2600,5290
I,0.03125,0.03125,0,0,1500,1299
I,0.03125,0.0625,0,0,1000,599
Blackbear,0.03125,0.03125,0,1,1550,1499
Samsung,4.0,64.0,16,16,4000,13990
I,0.03125,0.0625,0,0,1500,1049
Asus,2.0,16.0,5,13,2070,12399
Karbonn,0.03125,0.03125,0,0,1750,769
Gionee,4.0,64.0,16,13,4010,21499
Bloom,0.03125,0.03125,0,0,1000,699
Samsung,8.0,128.0,32,64,4500,25499
Peace,0.03125,0.0625,0,0,850,1099
Peace,0.03125,0.0625,0,0,850,1075
Redmi,6.0,64.0,20,12,4000,8999
LG,4.0,64.0,8,16,3000,50000
I,0.03125,0.0625,0,0,800,799
Karbonn,0.03125,0.03125,0,0,800,717
Mobiistar,1.0,8.0,5,5,2700,3999
Lava,3.0,32.0,8,13,3000,7999
Tork,0.03125,0.03125,0,0,2800,950
Jivi,0.03125,0.03125,0,0,1000,839
Jivi,0.03125,0.03125,0,0,1000,799
Billion,4.0,64.0,8,13,3500,13999
Forme,0.03125,0.03125,0,0,850,599
Forme,0.03125,0.03125,0,0,2500,830
Karbonn,0.03125,0.03125,0,0,1750,949
GAMMA,0.03125,0.03125,0,0,1000,890
Blackbear,0.03125,0.03125,0,1,1050,620
Coolpad,3.0,32.0,0,13,2500,9999
Realme,4.0,64.0,8,13,4230,10990
Bluboo,2.0,16.0,5,8,2700,5299
I,0.03125,0.0625,0,0,800,1199
Infinix,3.0,32.0,16,12,4500,6999
Itel,0.03125,0.03125,0,0,2500,1124
Lenovo,2.0,32.0,5,13,4900,15999
OPPO,8.0,256.0,25,16,3730,58990
Karbonn,1.0,4.0,2,13,1800,13298
Karbonn,1.0,4.0,2,13,1800,14990
Karbonn,0.03125,0.03125,0,0,1450,836
Karbonn,0.03125,0.03125,0,0,1750,999
Blackbear,0.0625,0.0625,0,2,2800,1079
Intex,0.00390625,0.00390625,0,0,1050,765
Gionee,3.0,32.0,8,13,3520,6999
Ssky,0.03125,0.03125,0,0,2500,799
Micromax,0.03125,0.03125,0,0,1800,1069
Gome,3.0,32.0,0,13,3500,5980
Alcatel,3.0,32.0,0,16,4000,12999
Tecno,2.0,16.0,8,13,4000,5440
Micromax,0.03125,0.03125,0,0,2500,1205
Blackbear,0.0625,0.0625,0,2,6000,1699
Redmi,4.0,64.0,20,12,4000,10900
Micromax,0.01953125,0.01953125,0,0,1700,1629
Jivi,0.0048828125,0.03125,0,0,1000,899
JIVI,0.0009765625,0.015625,0,0,4000,2299
Kechaoda,0.03125,0.03125,0,0,1000,690
Realme,3.0,32.0,0,13,3500,12334
I,0.03125,0.0625,0,0,2000,739
Intex,0.03125,0.03125,0,1,1700,1090
Lava,3.0,32.0,13,13,3000,8999
Karbonn,2.0,16.0,0,8,3000,4999
Jivi,0.0009765625,0.015625,0,0,1000,789
Kechaoda,0.03125,0.0625,0,0,1200,817
