Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Internet Connectivity 4G,Price
Kechaoda,32,32,0,0,800,0,850
Gfive,32,32,0,1,1000,0,1099
I Kall,2,16,0,5,2800,1,3599
OPPO,2,32,5,8,4000,1,7490
Karbonn,1,8,0,5,2800,1,3299
Gfive,32,32,0,1,1000,0,999
I Kall,32,64,0,0,1000,0,1199
Redmi,4,64,16,12,3080,1,10999
I Kall,2,16,0,5,2500,1,3199
OPPO,8,128,16,48,4000,1,21990
Nokia,6,64,20,48,3500,1,17099
Lava,4,3,0,0,800,0,879
I Kall,4,32,0,5,3000,1,5699
I Kall,32,64,0,0,800,0,599
Vivo,3,32,5,13,3260,1,10279
Micromax,56,40,0,0,4000,0,1599
Samsung,1,16,5,5,2600,1,5290
Nokia,4,4,0,0,800,0,1384
vivo,6,64,0,16,5000,1,12650
Honor,3,32,13,13,3000,1,7999
Mi,6,128,5,12,3400,1,29999
OPPO,2,16,8,13,3180,1,8990
I Kall,4,64,5,8,3000,1,4499
Apple,0,128,7,12,0,1,54900
Samsung,4,64,8,13,4000,1,12999
Samsung,3,32,0,13,5000,1,10890
Samsung,4,64,0,13,5000,1,12675
Kechaoda,32,64,0,0,1700,0,970
I Kall,2,16,0,5,2800,1,3599
Tecno,3,32,16,13,3750,1,7890
Itel,8,8,0,0,1900,0,1379
Salora,32,32,0,1,2000,0,659
I Kall,2,16,0,5,2500,1,3199
Kechaoda,32,32,0,0,850,0,802
Infinix,4,64,16,12,4500,1,6999
XOLO,4,64,16,13,3260,1,8699
XOLO,6,128,16,13,3260,1,10599
Samsung,3,32,8,13,4000,1,10999
I Kall,4,32,0,5,3000,1,5699
XOLO,4,64,16,13,3260,1,8699
Honor,4,64,8,13,4000,1,7999
Apple,0,64,12,12,0,1,99900
vivo,6,64,0,16,5000,1,12650
Micromax,32,32,0,1,800,0,799
XOLO,2,16,13,8,3000,1,7499
Samsung,4,2,0,0,1000,0,2320
Kechaoda,32,32,0,0,1000,0,850
Coolpad,2,16,0,13,3000,1,6399
Samsung,4,64,16,25,4000,1,14999
Samsung,2,32,5,13,3400,1,7990
Samsung,6,64,8,12,3500,1,29999
Kechaoda,32,64,0,0,1700,0,949
Tork,32,32,0,0,2500,0,899
Karbonn,32,32,0,0,1800,0,899
Gfive,64,256,0,0,1050,0,649
Nokia,4,4,0,0,800,0,1124
Micromax,32,32,0,0,3000,0,1117
Tecno,2,32,16,13,3500,1,8999
Redmi,6,128,20,48,4000,1,22999
Hicell,32,64,0,0,1050,0,539
Gfive,32,64,0,0,1050,0,1199
Micromax,1,16,5,5,5000,1,6999
Vivo,3,16,5,13,3360,1,11990
ITEL,32,32,0,0,1000,0,775
Honor,6,128,32,48,3750,1,22999
Kechaoda,64,64,0,0,2000,0,999
Samsung,6,64,25,25,4000,1,17999
I Kall,32,64,0,0,1000,0,499
I Kall,4,64,5,8,3000,1,4499
Itel,4,4,0,0,3000,0,1269
Tork,32,32,0,0,2500,0,1050
Lava,2,16,5,8,3380,1,5549
I Kall,2,16,0,5,2800,1,3599
Kechaoda,32,32,0,0,400,0,999
Micromax,128,32,0,0,1800,0,1095
I Kall,32,64,0,0,1000,0,599
Micromax,0,56,0,0,800,0,899
I Kall,32,32,0,0,1000,0,599
I Kall,2,16,0,5,2500,1,3199
Vivo,6,64,25,16,3315,1,24990
Infinix,3,32,16,12,4500,1,6999
