Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Internet Connectivity 4G,Price
Kechaoda,0.03125,0.03125,0,0,800,0,899
Samsung,4.0,128.0,16,25,4000,1,15999
Gfive,,0.03125,0,0,1050,0,649
I,2.0,16.0,0,5,2800,1,3699
Inovu,0.03125,0.03125,0,0,1000,0,599
Karbonn,0.03125,0.03125,0,0,800,0,739
Kechaoda,0.03125,0.03125,0,0,800,0,899
Gfive,,,0,0,1050,0,675
Apple,,512.0,12,12,0,1,131900
I,4.0,64.0,5,8,3000,1,4499
Micromax,0.03125,0.03125,0,0,1450,0,1199
Asus,8.0,256.0,8,12,3300,1,18999
OnePlus,8.0,256.0,16,48,4085,1,53380
I,2.0,16.0,0,5,2800,1,3749
Redmi,3.0,32.0,5,13,4100,1,10999
Gfive,0.0625,0.25,0,0,1050,0,649
I,0.03125,0.03125,0,0,800,0,1199
Samsung,4.0,64.0,16,25,4000,1,14999
Samsung,8.0,128.0,10,64,4000,1,66999
I,4.0,64.0,5,8,3000,1,4499
Lava,0.03125,0.03125,0,1,2500,0,1399
Lava,0.0625,0.5,0,0,1750,0,1504
SSKY,0.03125,0.03125,0,1,2500,0,799
I,2.0,16.0,0,5,2800,1,3699
OPPO,8.0,256.0,16,48,4000,1,36990
Infinix,3.0,32.0,16,13,4000,1,10999
Blackbear,2.0,16.0,5,8,2500,1,4999
I,0.03125,0.0625,0,0,1000,0,1199
Salora,0.03125,0.03125,0,1,1800,0,999
I,2.0,16.0,0,5,2500,1,3199
Itel,0.0078125,0.0078125,0,0,1900,0,1269
InFocus,0.03125,0.03125,0,0,1000,0,1070
Peace,0.0625,0.25,0,0,850,0,540
I,4.0,64.0,5,8,3000,1,4499
Micromax,0.03125,0.03125,0,0,1750,0,890
Karbonn,0.03125,0.03125,0,0,800,0,1190
Karbonn,0.03125,0.03125,0,0,800,0,999
Salora,0.03125,0.03125,0,1,2700,0,1099
I,0.03125,0.0625,0,0,1000,0,639
I,2.0,16.0,0,5,2800,1,3749
Salora,0.03125,0.03125,0,1,1800,0,899
I,0.03125,0.0625,0,0,1000,0,1199
I,0.03125,0.0625,0,0,1000,0,1199
I,4.0,64.0,5,8,3000,1,4499
