Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Internet Connectivity 4G,Price
Realme,3,32,8,13,4230,1,9499
Karbonn,0.01171875,0.03125,0,0,1750,0,1129
Redmi,2,32,0,12,4000,1,7995
OPPO,2,32,5,8,4000,1,7490
I,2,16,0,5,2800,1,3699
Samsung,6,128,32,64,4500,1,25999
Micromax,3,32,5,13,3000,1,4299
Vivo,6,64,32,16,4500,1,17990
I,2,16,0,5,2500,1,2999
Infinix,4,64,16,16,4000,1,8999
Itel,1,16,2,5,3020,1,3980
Samsung,6,64,25,25,4000,1,17999
Kechaoda,0.03125,0.03125,0,0,1000,0,830
Vivo,6,64,32,12,4000,1,15777
Hicell,0.03125,0.0625,0,0,1050,0,599
LG,6,128,32,12,4000,1,49990
Lenovo,2,32,5,13,2300,1,17499
OPPO,2,16,8,13,3180,1,8990
Itel,0.03125,0.03125,0,0,1200,0,1325
Redmi,8,256,20,48,4000,1,27999
Gionee,2,16,5,13,3000,1,5748
Apple,,128,7,12,0,1,54900
Vivo,6,64,25,12,3400,1,14990
Salora,0.03125,0.03125,0,1,2000,0,659
Kechaoda,0.03125,0.0625,0,0,1700,0,999
I,0.03125,0.0625,0,0,1000,0,1099
I,0.03125,0.0625,0,0,800,0,513
Honor,6,128,32,48,3750,1,21999
Nokia,3,32,8,13,3000,1,9499
Karbonn,0.01171875,0.01171875,0,0,800,0,1303
I,0.03125,0.0625,0,0,1000,0,616
Good,0.03125,0.03125,0,0,1000,0,1599
Good,0.03125,0.03125,0,0,1000,0,1449
Jmax,0.03125,0.03125,0,1,1050,0,1199
I,4,64,5,8,3000,1,4499
Muphone,0.03125,0.03125,0,0,3800,0,1029
Jmax,0.03125,0.03125,0,1,1050,0,1199
Jmax,0.03125,0.03125,0,1,1050,0,1199
I,2,16,0,5,2800,1,4399
Micromax,0.03125,0.03125,0,2,1450,0,1390
OPPO,4,32,8,13,4230,1,11990
I,0.03125,0.0625,0,0,1000,0,579
I,0.03125,0.0625,0,0,1000,0,999
Redmi,8,256,20,48,4000,1,27999
I,4,64,5,8,3000,1,4499
Tork,0.03125,0.03125,0,0,1000,0,799
Samsung,4,64,0,13,5000,1,12920
Mymax,0.03125,0.03125,0,1,1000,0,899
I,2,16,0,5,2800,1,3699
Tecno,4,64,13,13,6000,1,8499
Nokia,0.00390625,0.00390625,0,1,800,0,1680
Tecno,4,64,13,13,6000,1,11999
Mymax,0.03125,0.03125,0,1,1000,0,565
Detel,0.03125,0.03125,0,0,1000,0,599
I,2,16,0,5,2500,1,2999
Easyfone,0.03125,0.03125,0,0,1000,0,2499
Samsung,2,32,8,13,4000,1,8499
Mymax,0.03125,0.03125,0,1,1000,0,899
I,4,64,5,8,3000,1,4499
Nokia,0.00390625,0.00390625,0,1,800,0,1680
Micromax,,0.03125,0,0,1300,0,925
OPPO,6,128,16,48,4020,1,16990
Asus,8,256,8,12,3300,1,18999
Infinix,2,16,8,13,3050,1,3999
I,2,16,0,5,2800,1,4399
Blackbear,0.0625,0.0625,0,2,1000,0,549
Intex,,0.033203125,0,0,800,0,790
OnePlus,12,256,16,48,4000,1,63999
I,4,64,5,8,3000,1,4499
Itel,0.0078125,0.0078125,0,0,1900,0,1368
I,0.03125,0.0625,0,0,1000,0,1199
Honor,4,64,16,13,3000,1,8499
Micromax,1,8,2,5,2000,1,2799
Blackbear,0.0625,0.0625,0,1,1050,0,749
I,2,16,0,5,2500,1,2999
Nokia,3,32,5,13,4000,1,8999
Honor,6,128,32,48,3750,1,21999
Samsung,4,64,16,16,3300,1,26600
I,2,16,0,5,2800,1,3699
Tecno,3,32,16,13,3750,1,6990
Karbonn,0.0625,0.0625,0,0,1800,0,970
I,0.03125,0.0625,0,0,1000,0,1099
Infinix,4,64,13,13,4000,1,9999
Samsung,4,128,16,25,4000,1,15999
I,4,64,5,8,3000,1,4499
Panasonic,3,16,5,13,5000,1,8499
Apple,,512,12,12,0,1,131900
Karbonn,0.03125,0.03125,0,0,1750,0,1245
I,2,16,0,5,2800,1,4399
I,0.03125,0.0625,0,0,1000,0,616
Inovu,0.03125,0.03125,0,0,1000,0,649
Micromax,0.01953125,0.01953125,0,0,3000,0,1480
Samsung,6,128,8,12,4000,1,67900
Muphone,0.03125,0.0625,0,0,1700,0,1099
I,4,64,5,8,3000,1,4499
Intex,0.03125,0.03125,0,0,1300,0,899
POCO,6,64,20,12,4000,1,19999
Muphone,0.03125,0.03125,0,1,1700,0,1099
I,2,16,0,5,2800,1,3699
Muphone,0.03125,0.0625,0,0,1700,0,1099
Nokia,,0.015625,0,2,1200,0,3378
Muphone,0.03125,0.0625,0,0,1700,0,1099
Hicell,0.03125,0.0625,0,0,1050,0,539
I,0.03125,0.0625,0,0,1000,0,616
I,2,16,0,5,2500,1,2999
Micromax,0.03125,0.03125,0,0,800,0,850
Ismart,2,32,5,8,3000,1,4999
I,0.03125,0.0625,0,0,800,0,999
I,4,64,5,8,3000,1,4499
Kechaoda,0.03125,0.03125,0,0,800,0,840
Kechaoda,0.03125,0.03125,0,0,800,0,840
Kechaoda,0.03125,0.03125,0,0,800,0,840
Panasonic,1,16,5,8,2200,1,5299
I,0.03125,0.0625,0,0,800,0,513
I,2,16,0,5,2800,1,4399
InFocus,2,16,8,13,3000,1,4438
XOLO,2,16,5,8,2500,1,6888
Karbonn,0.03125,0.03125,0,0,1000,0,829
I,4,64,5,8,3000,1,4499
Redmi,8,128,0,64,4500,1,19999
Karbonn,0.03125,0.03125,0,1,1400,0,1335
Samsung,4,64,16,25,4000,1,14999
Micromax,0.03125,0.03125,0,0,2500,0,1268
I,0.03125,0.0625,0,0,1000,0,999
I,2,16,0,5,2500,1,2999
Micromax,0.0546875,0.0390625,0,0,1000,0,799
Inovu,0.03125,0.03125,0,0,1000,0,649
InFocus,0.03125,0.03125,0,0,1000,0,787
I,2,16,0,5,2800,1,3699
Gamma,0.03125,0.03125,0,2,2200,0,1099
Samsung,0.00390625,0.001953125,0,0,1000,0,2315
Micromax,0.03125,0.03125,0,0,1450,0,1099
Itel,0.03125,0.03125,0,0,1000,0,1070
Karbonn,0.03125,0.03125,0,0,1450,0,949
I,4,64,5,8,3000,1,4499
Muphone,0.03125,0.03125,0,1,800,0,840
I,0.03125,0.0625,0,0,1000,0,616
Muphone,0.03125,0.03125,0,1,800,0,840
I,2,16,0,5,2800,1,4399
Itel,0.03125,0.03125,0,0,1200,0,1345
Gionee,4,32,16,13,3030,1,6999
Karbonn,1,8,0,5,2800,1,3299
Tambo,0.0234375,0.0234375,0,0,1000,0,840
Samsung,6,128,10,16,3100,1,47990
I,4,64,5,8,3000,1,4499
Kechaoda,0.03125,0.03125,0,0,800,0,850
Samsung,4,128,16,25,4000,1,15999
Gfive,,0.03125,0,0,1050,0,640
I,2,16,0,5,2800,1,3699
Inovu,0.03125,0.03125,0,0,1000,0,599
Karbonn,0.03125,0.03125,0,0,800,0,739
Kechaoda,0.03125,0.03125,0,0,800,0,880
Gfive,,,0,0,1050,0,675
Apple,,512,12,12,0,1,131900
I,4,64,5,8,3000,1,4499
Micromax,0.03125,0.03125,0,0,1450,0,1165
Asus,8,256,8,12,3300,1,18999
OnePlus,8,256,16,48,4085,1,53395
I,2,16,0,5,2800,1,4399
Redmi,3,32,5,13,4100,1,10999
Gfive,0.0625,0.25,0,0,1050,0,649
I,0.03125,0.03125,0,0,800,0,999
Samsung,4,64,16,25,4000,1,14999
Samsung,8,128,10,64,4000,1,66999
I,4,64,5,8,3000,1,4499
Lava,0.03125,0.03125,0,1,2500,0,1499
Lava,0.0625,0.5,0,0,1750,0,1399
SSKY,0.03125,0.03125,0,1,2500,0,799
I,2,16,0,5,2800,1,3699
OPPO,8,256,16,48,4000,1,36990
Infinix,3,32,16,13,4000,1,10999
Blackbear,2,16,5,8,2500,1,4999
I,0.03125,0.0625,0,0,1000,0,1099
Salora,0.03125,0.03125,0,1,1800,0,999
I,2,16,0,5,2500,1,2999
Itel,0.0078125,0.0078125,0,0,1900,0,1269
InFocus,0.03125,0.03125,0,0,1000,0,1070
Peace,0.0625,0.25,0,0,850,0,535
I,4,64,5,8,3000,1,4499
Micromax,0.03125,0.03125,0,0,1750,0,1099
Karbonn,0.03125,0.03125,0,0,800,0,1190
Karbonn,0.03125,0.03125,0,0,800,0,999
Salora,0.03125,0.03125,0,1,2700,0,1099
I,0.03125,0.0625,0,0,1000,0,479
I,2,16,0,5,2800,1,4399
Salora,0.03125,0.03125,0,1,1800,0,899
I,0.03125,0.0625,0,0,1000,0,1199
I,0.03125,0.0625,0,0,1000,0,1199
I,4,64,5,8,3000,1,4499
POCO,6,128,20,12,4000,1,14999
JIVI,0.029296875,0,0,0,800,0,689
Ssky,0.03125,0.03125,0,1,1800,0,1099
OPPO,6,64,25,16,3500,1,14990
Jivi,0.000976563,0.015625,0,0,1000,0,710
I,2,16,0,5,2500,1,2999
Blackbear,0.0625,0.0625,0,1,1450,0,1320
Samsung,1,8,5,8,2600,1,8990
Jivi,0.000976563,0.015625,0,0,1000,0,719
I,2,16,0,5,2800,1,3699
Realme,2,16,5,13,4230,1,6999
Samsung,6,128,32,64,4500,1,25999
Google,4,64,8,12,3700,1,32999
Mi,6,128,20,20,3010,1,15999
Winstar,0.03125,0,0,0,1500,0,990
Winstar,0.03125,0.03125,0,0,1500,0,948
I,0.03125,0.0625,0,0,1500,0,1149
Samsung,1,16,5,5,2600,1,5290
I,0.03125,0.03125,0,0,1500,0,1199
I,0.03125,0.0625,0,0,1000,0,479
Blackbear,0.03125,0.03125,0,1,1550,0,1399
Samsung,4,64,16,16,4000,1,13990
I,0.03125,0.0625,0,0,1500,0,999
Samsung,,,0,0,800,0,1599
Asus,2,16,5,13,2070,1,5990
Karbonn,0.03125,0.03125,0,0,1750,0,769
Gionee,4,64,16,13,4010,1,21499
Bloom,0.03125,0.03125,0,0,1000,0,699
Samsung,8,128,32,64,4500,1,27999
Peace,0.03125,0.0625,0,0,850,0,1099
Peace,0.03125,0.0625,0,0,850,0,1075
Redmi,6,64,20,12,4000,1,13999
LG,4,64,8,16,3000,1,36999
I,0.03125,0.0625,0,0,800,0,799
Karbonn,0.03125,0.03125,0,0,800,0,717
Muphone,0.03125,0.03125,0,0,3800,0,1029
Peace,,,0,0,850,0,635
Apple,,512,7,12,0,1,109900
Mobiistar,1,8,5,5,2700,1,3999
I,4,64,5,8,3000,1,4499
Lava,3,32,8,13,3000,1,7999
Tork,0.03125,0.03125,0,0,2800,0,949
Jivi,0.03125,0.03125,0,0,1000,0,885
Jivi,0.03125,0.03125,0,0,1000,0,885
Billion,4,64,8,13,3500,1,13999
I,2,16,0,5,2800,1,4399
Forme,0.03125,0.03125,0,0,850,0,599
Forme,0.03125,0.03125,0,0,2500,0,830
Karbonn,0.03125,0.03125,0,0,1750,0,949
I,4,64,5,8,3000,1,4499
GAMMA,0.03125,0.03125,0,0,1000,0,890
Blackbear,0.03125,0.03125,0,1,1050,0,620
Coolpad,3,32,0,13,2500,1,9999
Hicell,0.03125,0.0625,0,0,1050,0,539
Realme,4,64,8,13,4230,1,10990
I,2,16,0,5,2800,1,3699
Bluboo,2,16,5,8,2700,1,4650
I,0.03125,0.0625,0,0,800,0,999
Infinix,3,32,16,12,4500,1,6999
I,2,16,0,5,2500,1,2999
Itel,0.03125,0.03125,0,0,2500,0,1124
Lenovo,2,32,5,13,4900,1,15999
OPPO,8,256,25,16,3730,1,58990
